Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,10,Fixed,2.99%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,10,Fixed,3.49%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,10,Fixed,2.94%,3.5%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,10,Fixed,3.19%,3.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,10,Fixed,3.44%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,10,Fixed,3.69%,3.6%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,15,Fixed,2.99%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,15,Fixed,3.49%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.94%,3.5%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,3.19%,3.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,3.44%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,3.69%,3.6%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,20,Fixed,2.99%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,20,Fixed,3.49%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,20,Fixed,2.94%,3.5%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,20,Fixed,3.19%,3.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,20,Fixed,3.44%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,20,Fixed,3.69%,3.6%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,25,Fixed,2.99%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,25,Fixed,3.49%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,25,Fixed,2.94%,3.5%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,25,Fixed,3.19%,3.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,25,Fixed,3.44%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,25,Fixed,3.69%,3.6%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,30,Fixed,2.99%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-06-01,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,30,Fixed,3.49%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
